Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Government Effectiveness: Estimate,GE.EST,1.55227208137512,1.5137984752655,1.5213223695755,1.51647663116455,1.46162545681,1.43219923973083,1.44050490856171,1.51742815971375,1.53697216510773,1.45341503620148,1.27459323406219
Control of Corruption: Estimate,CC.EST,1.26525807380676,1.26211905479431,1.40279400348663,1.30592489242554,1.37137806415558,1.35772120952606,1.33089566230774,1.34053254127502,1.2927473783493,1.18035709857941,1.03783190250397
